ID,Product_Name,Material,Price,Product_Page,MRP_Rate,Offer,Estimated_Delivery,Category,Rating,Reviews
7013,Mitra Brass Incense Stick Holder,Brass,1113,https://vaaree.com/products/mitra-brass-incense-stick-holder,1855,40,2025-03-10,Candle Stand & Holders,0,2
6834,Lord Ganesha Smoke Fountain,Polyresin,340,https://vaaree.com/products/lord-ganesha-smoke-fountain,2999,89,2025-03-10,Candle Stand & Holders,0,10
8986,Little Budha Smoke Fountain - Yellow,Polyresin,280,https://vaaree.com/products/little-budha-smoke-fountain-yellow,2999,91,2025-03-10,Candle Stand & Holders,0,4
4916,Shri Ganesha And Lakshmi Tealight Candle Holder - Set Of Two,Metal,260,https://vaaree.com/products/shri-ganesha-and-lakshmi-tealight-candle-holder-set-of-two,899,72,2025-03-10,Candle Stand & Holders,3,3
5224,Its A Crystal Affair Tall Tealight Candle Holder - Set Of Two,Iron,924,https://vaaree.com/products/its-a-crystal-affair-tall-tealight-candle-holder-set-of-two,1386,34,2025-03-15,Candle Stand & Holders,1,1
5603,Lantern Lore Tealight Candle Holder - White,Metal,260,https://vaaree.com/products/lantern-lore-tealight-candle-holder-white,999,74,2025-03-10,Candle Stand & Holders,0,10
5477,Ambuja Ethched Tealight Candle Holder - Set Of Four,Iron,899,https://vaaree.com/products/ambuja-ethched-tealight-candle-holder-set-of-four,1499,40,2025-03-10,Candle Stand & Holders,5,2
8939,Vera Candle Holder,Resin,1099,https://vaaree.com/products/vera-candle-holder,1999,45,2025-03-10,Candle Stand & Holders,0,10
2667,Bella Turquoise Candle Holder - Set Of Three,Metal,1099,https://vaaree.com/products/bella-turquoise-candle-holder-set-of-three,1319,17,2025-03-10,Candle Stand & Holders,3,1
8866,Trimero Crystal Tealight Candle Holder - Set Of Two,Iron,861,https://vaaree.com/products/trimero-crystal-tealight-candle-holder-set-of-two,1292,34,2025-03-15,Candle Stand & Holders,0,10
4278,Mandir Lantern Tealight Candle Holder - Set Of Four,Iron,440,https://vaaree.com/products/mandir-lantern-tealight-candle-holder-set-of-four,660,34,2025-03-15,Candle Stand & Holders,5,1
9411,Baby Buddha Monk Smoke Fountain - Green & Brown,Polyresin,280,https://vaaree.com/products/baby-buddha-monk-smoke-fountain-green-brown,2999,91,2025-03-10,Candle Stand & Holders,0,10
2950,Jwala Ganesha Tealight Candle Holder,Metal,627,https://vaaree.com/products/jwala-ganesha-tealight-candle-holder,1699,64,2025-03-10,Candle Stand & Holders,0,10
1968,Surya Tealight Candle Holder (Black) - Set of Two,Metal,951,https://vaaree.com/products/surya-tealight-candle-holder-black-set-of-two,2400,61,2025-03-10,Candle Stand & Holders,0,10
8055,Bird Nest Candle Holder - Set Of Two,Metal,459,https://vaaree.com/products/bird-nest-candle-holder-set-of-two,1000,55,2025-03-10,Candle Stand & Holders,0,10
5824,Zeus Wall Clock,Plastic,699,https://vaaree.com/products/zeus-wall-clock,1499,54,2025-03-15,Clocks,0,30
8417,Nikita Sweep Silent Wall Clock,Plastic,699,https://vaaree.com/products/nikita-sweep-silent-wall-clock,1499,54,2025-03-15,Clocks,0,3
1975,Norva Floral Wall Clock,Iron,1947,https://vaaree.com/products/norva-floral-wall-clock,2920,34,2025-03-15,Clocks,0,7
7466,Wooden Wonder Wall Clock,Plastic,699,https://vaaree.com/products/wooden-wonder-wall-clock,1499,54,2025-03-10,Clocks,1,1
5066,Yvonne Printed Silent Wall Clock,Plastic,699,https://vaaree.com/products/yvonne-sweep-silent-wall-clock,1499,54,2025-03-15,Clocks,0,17
5571,Ocea Wall Clock,Iron,1099,https://vaaree.com/products/ocea-wall-clock,1649,34,2025-03-15,Clocks,0,6
8000,Maris Sweep Silent Wall Clock,Plastic,699,https://vaaree.com/products/maris-sweep-silent-wall-clock,1499,54,2025-03-15,Clocks,1,3
4209,Artistic Wall Clock - Brown,Plastic,999,https://vaaree.com/products/artistic-wall-clock-brown,1499,34,2025-03-10,Clocks,0,11
3323,Full Maverick Wall Clock,Wood,749,https://vaaree.com/products/full-maverick-wall-clock,3495,79,2025-03-10,Clocks,0,2
2580,Calypso Table Clock - Black,Aluminum,2325,https://vaaree.com/products/calypso-table-clock-black,3125,26,2025-03-10,Clocks,5,1
3578,Classic Charm Wall Clock,Plastic,699,https://vaaree.com/products/classic-charm-wall-clock,1499,54,2025-03-15,Clocks,0,5
3945,Soren Sweep Silent Wall Clock,Plastic,699,https://vaaree.com/products/soren-sweep-silent-wall-clock,1499,54,2025-03-15,Clocks,3,1
1249,Alice Table Clock,Aluminum,4400,https://vaaree.com/products/alice-table-clock,5280,17,2025-03-10,Clocks,0,1
4237,Dolva Double Sided Station Clock - Black,Metal,1520,https://vaaree.com/products/dolva-double-sided-station-clock-black,2095,28,2025-03-10,Clocks,5,1
5396,Linus Table Clock,Metal,1080,https://vaaree.com/products/linus-table-clock,1699,37,2025-03-10,Clocks,5,1
8728,Persona Table Clock - Gold,Aluminum,3302,https://vaaree.com/products/persona-table-clock-gold,4450,26,2025-03-10,Clocks,0,1
8094,Liam Sweep Silent Wall Clock,Plastic,499,https://vaaree.com/products/liam-sweep-silent-wall-clock,1425,65,2025-03-15,Clocks,0,10
